                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.97982,                0.92947,                 1.2455,                0.78216,                0.73511,                0.78679,                0.56335,                 1.0491,                0.86043,                 1.2571,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.0099,                0.99679,                 1.2617,                0.76645,                0.74309,                 0.7977,                0.57273,                 1.0089,                0.84234,                 1.2193,             0.00074282,             0.00074282,             0.00074282
                     58,                0.96251,                0.92219,                 1.2227,                0.79046,                0.74374,                0.80884,                 0.5826,                0.99561,                0.82774,                 1.2111,             0.00072631,             0.00072631,             0.00072631
                     59,                0.98874,                0.95516,                 1.2443,                0.74247,                  0.761,                0.79161,                0.56146,                 1.0246,                0.83418,                 1.2225,             0.00070981,             0.00070981,             0.00070981
                     60,                0.98716,                 0.9461,                 1.2388,                0.77514,                0.74762,                0.80077,                0.57793,                0.98704,                0.84001,                 1.2014,             0.00069331,             0.00069331,             0.00069331
                     61,                0.97445,                0.93574,                  1.233,                0.78401,                0.75938,                 0.8081,                0.58072,                 1.0069,                 0.8195,                 1.2044,              0.0006768,              0.0006768,              0.0006768
                     62,                0.94051,                0.90153,                  1.218,                 0.7571,                0.78473,                0.81219,                 0.5883,                0.96829,                0.81949,                 1.1911,              0.0006603,              0.0006603,              0.0006603
                     63,                0.96666,                0.92408,                 1.2286,                0.81584,                0.74964,                 0.8114,                0.59504,                0.97364,                0.81368,                 1.1976,              0.0006438,              0.0006438,              0.0006438
                     64,                0.95633,                0.92046,                 1.2261,                0.81993,                0.76877,                0.82428,                0.59998,                 0.9772,                0.81133,                 1.1892,             0.00062729,             0.00062729,             0.00062729
                     65,                0.94103,                0.90862,                 1.2095,                0.79292,                0.74775,                0.81308,                0.59255,                0.96762,                 0.8138,                 1.1948,             0.00061079,             0.00061079,             0.00061079
                     66,                0.92593,                0.87765,                 1.2069,                0.80601,                0.77067,                0.82019,                0.60046,                0.96968,                 0.8077,                 1.1908,             0.00059429,             0.00059429,             0.00059429
                     67,                0.91631,                0.87663,                 1.2032,                0.79026,                0.78815,                0.81717,                0.59694,                0.98136,                0.79239,                 1.1987,             0.00057778,             0.00057778,             0.00057778
                     68,                0.91515,                0.85538,                 1.1983,                0.80073,                0.76357,                0.81848,                0.59869,                0.97918,                0.78426,                 1.1981,             0.00056128,             0.00056128,             0.00056128
                     69,                  0.923,                0.88309,                 1.2064,                0.77547,                0.78608,                 0.8164,                0.60787,                0.94198,                0.80142,                 1.1657,             0.00054478,             0.00054478,             0.00054478
                     70,                0.91172,                0.86258,                 1.2015,                0.82271,                0.77808,                0.84018,                0.61455,                 0.9384,                0.77605,                 1.1651,             0.00052827,             0.00052827,             0.00052827
                     71,                0.89705,                0.85137,                 1.1842,                0.81817,                0.77843,                0.82881,                0.61378,                0.93306,                0.75915,                 1.1758,             0.00051177,             0.00051177,             0.00051177
                     72,                0.90201,                0.83836,                 1.1889,                0.79331,                0.78191,                0.82853,                0.61066,                0.93021,                0.77687,                  1.168,             0.00049527,             0.00049527,             0.00049527
                     73,                0.91429,                0.86033,                 1.1934,                 0.8216,                0.76487,                 0.8344,                0.62381,                0.90727,                0.76038,                 1.1437,             0.00047876,             0.00047876,             0.00047876
                     74,                0.88851,                 0.8194,                 1.1806,                0.80031,                0.78351,                0.83239,                0.61612,                0.91896,                0.76319,                 1.1539,             0.00046226,             0.00046226,             0.00046226
                     75,                0.89736,                0.84645,                 1.1914,                0.81467,                0.78237,                0.83617,                0.62245,                0.90765,                0.76598,                 1.1429,             0.00044576,             0.00044576,             0.00044576
                     76,                 0.8823,                0.82158,                 1.1709,                0.82415,                0.78566,                0.84123,                0.62886,                0.90687,                0.74971,                 1.1411,             0.00042925,             0.00042925,             0.00042925
                     77,                0.88392,                0.81314,                 1.1817,                 0.8328,                0.79323,                0.84921,                0.63616,                0.90103,                0.73639,                 1.1346,             0.00041275,             0.00041275,             0.00041275
                     78,                0.87616,                0.81976,                 1.1725,                0.83462,                0.78878,                0.84655,                0.63316,                0.90459,                0.72637,                 1.1392,             0.00039625,             0.00039625,             0.00039625
                     79,                0.86611,                0.79618,                 1.1658,                0.83136,                0.77859,                0.84558,                0.63003,                0.89755,                0.74106,                 1.1378,             0.00037974,             0.00037974,             0.00037974
                     80,                0.86048,                0.79448,                 1.1638,                0.82414,                0.80025,                0.85357,                0.64271,                0.87699,                0.72623,                 1.1226,             0.00036324,             0.00036324,             0.00036324
                     81,                0.83739,                0.76885,                 1.1511,                0.81384,                0.80093,                0.85599,                0.64809,                0.87568,                0.70323,                 1.1225,             0.00034674,             0.00034674,             0.00034674
                     82,                0.83476,                0.77013,                 1.1541,                0.83575,                0.80217,                0.85922,                0.65049,                0.88336,                0.68096,                 1.1226,             0.00033023,             0.00033023,             0.00033023
                     83,                0.82716,                0.75714,                 1.1387,                0.82273,                0.81482,                0.85663,                 0.6481,                0.87228,                0.70796,                 1.1206,             0.00031373,             0.00031373,             0.00031373
                     84,                0.83498,                 0.7674,                 1.1464,                0.83743,                0.78904,                0.85873,                 0.6574,                0.86426,                 0.7025,                 1.1182,             0.00029723,             0.00029723,             0.00029723
                     85,                0.85335,                0.78883,                 1.1581,                0.86318,                0.78546,                0.86757,                0.65964,                0.85944,                0.68748,                 1.1157,             0.00028072,             0.00028072,             0.00028072
                     86,                0.80587,                0.74373,                 1.1297,                0.85182,                 0.7862,                0.86127,                0.65716,                0.86666,                 0.6765,                 1.1202,             0.00026422,             0.00026422,             0.00026422
                     87,                0.82779,                 0.7418,                   1.14,                0.81693,                0.83163,                0.86141,                0.65981,                0.84806,                0.69107,                 1.1025,             0.00024772,             0.00024772,             0.00024772
                     88,                0.80292,                0.73656,                 1.1331,                0.84679,                0.81284,                0.86918,                0.66624,                0.84813,                0.68711,                 1.1019,             0.00023121,             0.00023121,             0.00023121
                     89,                0.81495,                0.74613,                 1.1407,                0.85251,                0.79888,                0.87247,                0.67651,                 0.8373,                 0.6661,                  1.091,             0.00021471,             0.00021471,             0.00021471
                     90,                0.81055,                0.72865,                 1.1349,                0.84825,                0.81037,                0.87174,                0.67448,                0.83263,                0.66203,                 1.0955,             0.00019821,             0.00019821,             0.00019821
                     91,                 0.8172,                0.68682,                 1.1376,                0.82836,                0.81835,                0.86928,                0.66991,                0.83266,                0.66614,                 1.0986,              0.0001817,              0.0001817,              0.0001817
                     92,                 0.7814,                0.64399,                 1.1216,                0.85803,                0.81434,                0.87428,                0.68021,                0.80744,                0.65318,                 1.0766,              0.0001652,              0.0001652,              0.0001652
                     93,                0.74927,                0.62013,                 1.1026,                0.83759,                0.82836,                0.87406,                0.67995,                0.82343,                0.65612,                 1.0863,              0.0001487,              0.0001487,              0.0001487
                     94,                0.76701,                0.62006,                  1.115,                0.85285,                0.81325,                0.87725,                0.68139,                0.81322,                0.64637,                 1.0819,             0.00013219,             0.00013219,             0.00013219
                     95,                0.74694,                0.61998,                 1.1055,                0.86873,                0.81522,                0.87911,                0.68657,                0.80189,                0.64497,                  1.077,             0.00011569,             0.00011569,             0.00011569
                     96,                0.73459,                 0.5942,                 1.0895,                0.86156,                0.83359,                0.88214,                0.69154,                0.80708,                0.64003,                 1.0812,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.73946,                 0.5965,                 1.0905,                0.86513,                0.81708,                0.88146,                0.69156,                0.79881,                0.63546,                 1.0748,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.71938,                0.58341,                 1.0876,                0.87402,                0.82451,                 0.8834,                0.69098,                0.79088,                0.63171,                 1.0692,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.73528,                0.58903,                 1.0884,                0.86838,                0.82555,                0.88403,                0.69219,                0.78614,                0.63062,                 1.0667,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.71586,                0.57198,                 1.0787,                0.85637,                0.83352,                0.88168,                0.69513,                0.78386,                0.62914,                 1.0645,             3.3173e-05,             3.3173e-05,             3.3173e-05
